ID,Soc_ID,Var_ID,Value,Code_ID,Comment,Source,sub_case,year,source_coded_data,admin_comment,Song_ID
NHS2-FSD4,CCMCoriy1255,CCMC1,Love,CCMC1-Love,,,,,,,NHS2-FSD4
NHS2-TBMU,CCMCabkh1244,CCMC1,Dance,CCMC1-Dance,,,,,,,NHS2-TBMU
NHS2-KK34,CCMCabkh1244,CCMC1,Mourning,CCMC1-Mourning,,,,,,,NHS2-KK34
NHS2-NLXG,CCMCabkh1244,CCMC1,Mourning,CCMC1-Mourning,,,,,,,NHS2-NLXG
NHS2-2PAA,CCMCabkh1244,CCMC1,Praise,CCMC1-Praise,,,,,,,NHS2-2PAA
NHS2-AGW9,CCMCabkh1244,CCMC1,Praise,CCMC1-Praise,,,,,,,NHS2-AGW9
NHS2-U0D9,CCMCabkh1244,CCMC1,Praise,CCMC1-Praise,,,,,,,NHS2-U0D9
NHS2-Z8E6,CCMCabkh1244,CCMC1,Praise,CCMC1-Praise,,,,,,,NHS2-Z8E6
NHS2-M2XD,CCMCabkh1244,CCMC1,Procession,CCMC1-Procession,,,,,,,NHS2-M2XD
NHS2-6HQM,CCMCabkh1244,CCMC1,Story,CCMC1-Story,,,,,,,NHS2-6HQM
NHS2-8K9B,CCMCabkh1244,CCMC1,Work,CCMC1-Work,,,,,,,NHS2-8K9B
NHS2-VRBB,CCMCacol1236,CCMC1,Lullaby,CCMC1-Lullaby,,,,,,,NHS2-VRBB
NHS2-P594,CCMCacol1236,CCMC1,Play,CCMC1-Play,,,,,,,NHS2-P594
NHS2-79G9,CCMCafar1241,CCMC1,Work,CCMC1-Work,,,,,,,NHS2-79G9
NHS2-5H86,CCMCainu1240,CCMC1,Dance,CCMC1-Dance,,,,,,,NHS2-5H86
NHS2-KTO4,CCMCainu1240,CCMC1,Love,CCMC1-Love,,,,,,,NHS2-KTO4
NHS2-4RBL,CCMCainu1240,CCMC1,Lullaby,CCMC1-Lullaby,,,,,,,NHS2-4RBL
NHS2-9YBX,CCMCakan1250,CCMC1,Dance,CCMC1-Dance,,,,,,,NHS2-9YBX
