ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,region
oriy1255,Odia,,21.0,85.0,oriy1255,,South Asia
abkh1244,Abkhaz,,43.056218,41.159115,abkh1244,,Caucasus
acol1236,Acoli,,3.57738,32.5147,acol1236,,Eastern Africa
afar1241,Afar,,12.2281,41.8083,afar1241,,Eastern Africa
ainu1240,Hokkaido Ainu,,43.633654,142.46167,ainu1240,,East Asia
akan1250,Akan,,6.34756,-1.33254,akan1250,,Western Africa
alba1267,Albanian,,,,alba1267,,Southeastern Europe
alur1250,Alur,,2.36213,31.0016,alur1250,,Eastern Africa
aman1265,Amanab,,-3.51516,141.178,aman1265,,Melanesia
amer1254,Latin American Spanish,,,,amer1254,,Northwestern South America
amha1245,Amharic,,11.708182,39.543456,amha1245,,Eastern Africa
amis1246,Amis,,23.0917,121.348,amis1246,,East Asia
anga1288,Angami Naga,,25.6841,93.8668,anga1288,,South Asia
anta1255,Antankarana Malagasy,,-13.2164,49.2402,anta1255,,Southern Africa
anti1245,Antigua and Barbuda Creole English,,17.068263,-61.821863,anti1245,,Caribbean
arab1395,Arabic,,,,arab1395,,Northern Africa
arhu1242,Arhuaco,,10.7018,-73.6363,arhu1242,,Northwestern South America
arom1237,Aromanian,,40.616,21.2,arom1237,,Southeastern Europe
atay1247,Atayal,,24.5209,121.388,atay1247,,East Asia
atla1275,Atlas Berber,,,,atla1275,,Northern Africa
aush1241,Aushi,,-11.6295,29.0168,aush1241,,Central Africa
ayac1239,Ayacucho Quechua,,-13.84714,-74.32246,ayac1239,,Central Andes
baeg1237,Baeggu,,-8.49014,160.771,baeg1237,,Melanesia
bafu1246,Bafut,,6.14153,10.1194,bafu1246,,Western Africa
baic1239,Baic,,,,baic1239,,East Asia
bali1278,Balinese,,-8.35714,115.075,bali1278,,Southeast Asia
bamb1264,Bambenzele,,,,bamb1264,,Central Africa
bant1295,Bantu A-B10-B20-B30,,,,bant1295,,Central Africa
bard1255,Bardi,,-16.6274,122.906,bard1255,,Australia
basq1248,Basque,,43.2787,-1.31622,basq1248,,Western Europe
bava1246,Bavarian,,47.9232,13.246,bava1246,,Central Europe
beja1238,Beja,,17.2436,36.6666,beja1238,,Northern Africa
bemb1257,Bemba (Zambia),,-10.6122,29.2993,bemb1257,,Southern Africa
beng1280,Bengali,,24.0,90.0,beng1280,,South Asia
bhoj1244,Bhojpuri,,26.458455,84.817115,bhoj1244,,South Asia
bila1255,Bila,,1.16839,28.7626,bila1255,,Central Africa
boro1282,Bororo,,-16.6029,-55.2004,boro1282,,Amazon and Orinoco
bosn1245,Bosnian Standard,,43.859,17.046,bosn1245,,Southeastern Europe
bukh1238,Bukharic,,41.0,64.0,bukh1238,,Central Asia
bulg1262,Bulgarian,,43.3646,25.047,bulg1262,,Southeastern Europe
bulu1251,Bulu (Cameroon),,3.16141,11.6365,bulu1251,,Western Africa
bunu1267,Bunun,,23.4116,121.025,bunu1267,,East Asia
buru1296,Burushaski,,36.2161,74.8236,buru1296,,South Asia
cala1254,Calabrian Albanian,,,,cala1254,,Southern Europe
cayu1261,Cayuga,,42.41,-76.5969,cayu1261,,Eastern Woodlands
cent1972,Central Kurdish,,35.6539,45.8077,cent1972,,Middle East
cent2018,Central-Eastern Niger Fulfulde,,15.0907,8.43261,cent2018,,Western Africa
cent2126,Central Okinawan,,26.14854,127.7816,cent2126,,East Asia
cent2127,Central Alaskan Yupik,,60.3062,-161.486,cent2127,,Arctic and Subarctic
cent2131,Central Tarahumara,,27.5648,-107.154,cent2131,,Northern Mexico
cent2142,Central Aymara,,-17.0,-68.5,cent2142,,Central Andes
cent2194,Central Moroccan Berber,,32.7415,-2.40872,cent2194,,Northern Africa
cent2225,Central Sudanic,,,,cent2225,,Central Africa
chac1249,Cha'palaa,,0.71489,-79.0508,chac1249,,Northwestern South America
chad1249,Chadian Arabic,,14.67,13.5,chad1249,,Central Africa
chak1266,Chakma,,23.00148,92.339,chak1266,,South Asia
cher1273,Cherokee,,35.4664,-83.163,cher1273,,Eastern Woodlands
chey1247,Cheyenne,,45.5321,-106.659,chey1247,,Plains and Plateau
chig1238,Chiga,,-1.04387,29.9122,chig1238,,Eastern Africa
chip1241,Chippewa,,47.347,-94.2738,chip1241,,Arctic and Subarctic
choc1280,Chocoan,,,,choc1280,,Northwestern South America
chok1245,Chokwe,,-9.66082,21.3992,chok1245,,Southern Africa
chuk1273,Chukchi,,68.6436,170.045,chuk1273,,North Asia
chuu1238,Chuukese,,7.346993,151.598607,chuu1238,,Micronesia
coca1259,Cocama-Cocamilla,,-4.5,-74.0,coca1259,,Central Andes
cogu1240,Cogui,,10.9485,-73.8043,cogu1240,,Northwestern South America
cree1272,Cree,,,,cree1272,,Plains and Plateau
croa1245,Croatian Standard,,45.555,15.982,croa1245,,Southeastern Europe
cusc1236,Cusco Quechua,,-14.0853,-71.7663,cusc1236,,Central Andes
czec1258,Czech,,49.873398,15.10437,czec1258,,Central Europe
dako1258,Dakota,,45.86,-96.58,dako1258,,Plains and Plateau
dama1270,Damara,,,,dama1270,,Southern Africa
dani1285,Danish,,54.8655,9.36284,dani1285,,Scandinavia
dari1249,Dari,,31.0405,67.3593,dari1249,,Central Asia
dhuw1249,Dhuwal,,-12.7825,136.008,dhuw1249,,Australia
dizi1235,Dizin,,6.1405,35.5763,dizi1235,,Eastern Africa
djap1238,Djapu,,-12.879764,136.417978,djap1238,,Australia
domi1242,Dominican Spanish,,,,domi1242,,Caribbean
drav1251,Dravidian,,,,drav1251,,South Asia
duma1252,Duma (Karanga),,,,duma1252,,Southern Africa
duma1253,Duma,,-0.91927,13.0046,duma1253,,Western Africa
dutc1256,Dutch,,52.0,5.0,dutc1256,,Western Europe
east2534,Eastern Canadian Inuktitut,,62.1735,-75.6139,east2534,,Arctic and Subarctic
ecua1248,Ecuadorian Quechua A,,,,ecua1248,,Northwestern South America
eipo1242,Eipomek,,-4.33691,140.045,eipo1242,,Southeast Asia
elna1235,El Nayar Cora,,22.4099,-104.467,elna1235,,Northern Mexico
emil1243,Emiliano-Romagnolo,,,,emil1243,,Southern Europe
esto1258,Estonian,,58.55,25.82,esto1258,,Eastern Europe
even1259,Evenki,,61.972,94.689,even1259,,North Asia
ewee1241,Ewe,,6.46061,0.814975,ewee1241,,Western Africa
fang1246,Fang (Equatorial Guinea),,1.723965,11.61454,fang1246,,Central Africa
fata1245,Fataleka,,-8.59041,160.861,fata1245,,Melanesia
fiji1243,Fijian,,-18.0,178.33,fiji1243,,Polynesia
finn1318,Finnish,,64.7628,25.5577,finn1318,,Scandinavia
gali1262,Galibi Carib,,5.83772,-56.8323,gali1262,,Amazon and Orinoco
gand1255,Ganda,,0.66884,32.15153,gand1255,,Eastern Africa
gari1256,Garifuna,,15.3529,-86.9091,gari1256,,Maya Area
garo1247,Garo,,25.2954,90.462,garo1247,,South Asia
gheg1238,Gheg Albanian,,42.317,21.3837,gheg1238,,Southeastern Europe
gilb1244,Gilbertese,,0.179,173.64,gilb1244,,Micronesia
gily1242,Amur Nivkh,,52.59,140.681,gily1242,,North Asia
gour1247,Gourara,,,,gour1247,,Northern Africa
gree1280,Greenlandic Inuit,,,,gree1280,,Arctic and Subarctic
gren1247,Grenadian Creole English,,12.0067,-61.6989,gren1247,,Caribbean
guad1242,Guadeloupe-Martinique Creole French,,16.304875,-61.405914,guad1242,,Caribbean
guan1269,Kotiria,,1.07554,-69.5705,guan1269,,Northwestern South America
guer1241,Central Guerrero Nahuatl,,17.8583,-99.0023,guer1241,,Maya Area
gugu1254,Gugubera,,-15.4296,141.635,gugu1254,,Australia
