ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_ID,origLat,origLong,comment,glottocode_comment,region,HRAF_region
CCMCoriy1255,Odia,21.0,85.0,oriy1255,,,,,,,,,,,Indian Subcontinent,
CCMCabkh1244,Abkhaz,43.056218,41.159115,abkh1244,,,,,,,,,,,Caucasus,
CCMCacol1236,Acoli,3.57738,32.5147,acol1236,,,,,,,,,,,East Tropical Africa,
CCMCafar1241,Afar,12.2281,41.8083,afar1241,,,,,,,,,,,Northeast Tropical Africa,
CCMCainu1240,Hokkaido Ainu,43.633654,142.46167,ainu1240,,,,,,,,,,,Eastern Asia,
CCMCakan1250,Akan,6.34756,-1.33254,akan1250,,,,,,,,,,,West Tropical Africa,
CCMCalba1267,Albanian,40.99952028050002,20.791828239250023,alba1267,,,,,,,,,,,Southeastern Europe,
CCMCalur1250,Alur,2.36213,31.0016,alur1250,,,,,,,,,,,East Tropical Africa,
CCMCaman1265,Amanab,-3.51516,141.178,aman1265,,,,,,,,,,,Papuasia,
CCMCamer1254,Latin American Spanish,40.4414,-1.11788,amer1254,,,,,,,,,,,Southwestern Europe,
CCMCamha1245,Amharic,11.708182,39.543456,amha1245,,,,,,,,,,,Northeast Tropical Africa,
CCMCamis1246,Amis,23.0917,121.348,amis1246,,,,,,,,,,,Eastern Asia,
CCMCanga1288,Angami Naga,25.6841,93.8668,anga1288,,,,,,,,,,,Indian Subcontinent,
CCMCanta1255,Antankarana Malagasy,-13.2164,49.2402,anta1255,,,,,,,,,,,Western Indian Ocean,
CCMCanti1245,Antigua and Barbuda Creole English,17.068263,-61.821863,anti1245,,,,,,,,,,,Caribbean,
CCMCarab1395,Arabic,28.54883209863231,33.89900988007798,arab1395,,,,,,,,,,,Western Asia,
CCMCarhu1242,Arhuaco,10.7018,-73.6363,arhu1242,,,,,,,,,,,Western South America,
CCMCarom1237,Aromanian,40.616,21.2,arom1237,,,,,,,,,,,Southeastern Europe,
CCMCatay1247,Atayal,24.5209,121.388,atay1247,,,,,,,,,,,Eastern Asia,
CCMCatla1275,Atlas Berber,32.47515,-4.926258333333333,atla1275,,,,,,,,,,,Northern Africa,
CCMCaush1241,Aushi,-11.6295,29.0168,aush1241,,,,,,,,,,,South Tropical Africa,
CCMCayac1239,Ayacucho Quechua,-13.84714,-74.32246,ayac1239,,,,,,,,,,,Western South America,
CCMCbaeg1237,Baeggu,-8.49014,160.771,baeg1237,,,,,,,,,,,Papuasia,
CCMCbafu1246,Bafut,6.14153,10.1194,bafu1246,,,,,,,,,,,West-Central Tropical Africa,
CCMCbaic1239,Baic,26.383899999999997,99.82655,baic1239,,,,,,,,,,,China,
CCMCbali1278,Balinese,-8.35714,115.075,bali1278,,,,,,,,,,,Malesia,
CCMCbamb1264,Bambenzele,3.6515,17.2713,bamb1264,,,,,,,,,,,West-Central Tropical Africa,
CCMCbant1295,Bantu A-B10-B20-B30,2.0415592232505344,11.906256146109017,bant1295,,,,,,,,,,,West-Central Tropical Africa,
CCMCbard1255,Bardi,-16.6274,122.906,bard1255,,,,,,,,,,,Australia,
CCMCbasq1248,Basque,43.2787,-1.31622,basq1248,,,,,,,,,,,Southwestern Europe,
CCMCbava1246,Bavarian,47.9232,13.246,bava1246,,,,,,,,,,,Middle Europe,
CCMCbeja1238,Beja,17.2436,36.6666,beja1238,,,,,,,,,,,Northeast Tropical Africa,
CCMCbemb1257,Bemba (Zambia),-10.6122,29.2993,bemb1257,,,,,,,,,,,South Tropical Africa,
