ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Song_ID,Type_ID
NHS2-FSD4,oriy1255,song,y,Love,,,NHS2-FSD4,
NHS2-TBMU,abkh1244,song,y,Dance,,,NHS2-TBMU,
NHS2-KK34,abkh1244,song,y,Mourning,,,NHS2-KK34,
NHS2-NLXG,abkh1244,song,y,Mourning,,,NHS2-NLXG,
NHS2-2PAA,abkh1244,song,y,Praise,,,NHS2-2PAA,
NHS2-AGW9,abkh1244,song,y,Praise,,,NHS2-AGW9,
NHS2-U0D9,abkh1244,song,y,Praise,,,NHS2-U0D9,
NHS2-Z8E6,abkh1244,song,y,Praise,,,NHS2-Z8E6,
NHS2-M2XD,abkh1244,song,y,Procession,,,NHS2-M2XD,
NHS2-6HQM,abkh1244,song,y,Story,,,NHS2-6HQM,
NHS2-8K9B,abkh1244,song,y,Work,,,NHS2-8K9B,
NHS2-VRBB,acol1236,song,y,Lullaby,,,NHS2-VRBB,
NHS2-P594,acol1236,song,y,Play,,,NHS2-P594,
NHS2-79G9,afar1241,song,y,Work,,,NHS2-79G9,
NHS2-5H86,ainu1240,song,y,Dance,,,NHS2-5H86,
NHS2-KTO4,ainu1240,song,y,Love,,,NHS2-KTO4,
NHS2-4RBL,ainu1240,song,y,Lullaby,,,NHS2-4RBL,
NHS2-9YBX,akan1250,song,y,Dance,,,NHS2-9YBX,
NHS2-Y649,akan1250,song,y,Dance,,,NHS2-Y649,
NHS2-XRSS,akan1250,song,y,Healing,,,NHS2-XRSS,
NHS2-B0QQ,akan1250,song,y,Lullaby,,,NHS2-B0QQ,
NHS2-NFZO,akan1250,song,y,Mourning,,,NHS2-NFZO,
NHS2-8MOZ,alba1267,song,y,Lullaby,,,NHS2-8MOZ,
NHS2-EG2U,alba1267,song,y,Praise,,,NHS2-EG2U,
NHS2-Z7UP,alur1250,song,y,Play,,,NHS2-Z7UP,
NHS2-5M11,aman1265,song,y,Work,,,NHS2-5M11,
NHS2-FNOC,amer1254,song,y,Mourning,,,NHS2-FNOC,
NHS2-VN77,amer1254,song,y,Mourning,,,NHS2-VN77,
NHS2-C07W,amha1245,song,y,Love,,,NHS2-C07W,
NHS2-HFUR,amha1245,song,y,Praise,,,NHS2-HFUR,
NHS2-R4T4,amis1246,song,y,Work,,,NHS2-R4T4,
NHS2-X9CV,anga1288,song,y,Love,,,NHS2-X9CV,
NHS2-D3XG,anta1255,song,y,Praise,,,NHS2-D3XG,
NHS2-1JW6,anti1245,song,y,Dance,,,NHS2-1JW6,
NHS2-3LQ4,anti1245,song,y,Dance,,,NHS2-3LQ4,
NHS2-ERLW,anti1245,song,y,Lullaby,,,NHS2-ERLW,
NHS2-IX9E,anti1245,song,y,Story,,,NHS2-IX9E,
NHS2-F1GZ,anti1245,song,y,Work,,,NHS2-F1GZ,
NHS2-S2B4,anti1245,song,y,Work,,,NHS2-S2B4,
NHS2-1IVN,arab1395,song,y,Procession,,,NHS2-1IVN,
NHS2-XHF3,arhu1242,song,y,Dance,,,NHS2-XHF3,
NHS2-4KP9,arhu1242,song,y,Healing,,,NHS2-4KP9,
NHS2-UOFC,arom1237,song,y,Dance,,,NHS2-UOFC,
NHS2-MKSQ,arom1237,song,y,Procession,,,NHS2-MKSQ,
NHS2-WJTO,arom1237,song,y,Procession,,,NHS2-WJTO,
NHS2-6N1B,atay1247,song,y,Love,,,NHS2-6N1B,
NHS2-LXQB,atla1275,song,y,Procession,,,NHS2-LXQB,
